學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	HD75 	電機系（博）	AEC8063 	手機應用程式設計與開發	Mobile App Design and Development	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8063 	手機應用程式設計與開發	Mobile App Design and Development	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8064 	人工智慧物聯網	Artificial Intelligence of Things (AIoT)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8064 	人工智慧物聯網	Artificial Intelligence of Things (AIoT)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8065 	多媒體程式設計與開發	Multimedia Programming and Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8065 	多媒體程式設計與開發	Multimedia Programming and Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8066 	智慧機器人動作規劃	Motion Planning for Intelligent Robots	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8066 	智慧機器人動作規劃	Motion Planning for Intelligent Robots	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8067 	聲學感測應用	Acoustic Sensing Applications	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8067 	聲學感測應用	Acoustic Sensing Applications	選修	半	3.0		3.0	0.0				
113	HD75 	電機系（博）	AEC8068 	鎖相迴路設計與應用	Design and Applications of Phase-Locked Loop	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8068 	鎖相迴路設計與應用	Design and Applications of Phase-Locked Loop	選修	半	3.0		3.0	0.0				
113	HD75 	電機系（博）	AEC8069 	射頻積體電路設計	Radio-Frequency Integrated Circuit Design	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8069 	射頻積體電路設計	Radio-Frequency Integrated Circuit Design	選修	半	3.0		3.0	0.0				
113	HD75 	電機系（博）	AEC8070 	智慧載具網路控制技術	Network Control Technology for Smart Vehicle	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8070 	智慧載具網路控制技術	Network Control Technology for Smart Vehicle	選修	半	3.0		3.0	0.0				
113	HD75 	電機系（博）	AEC8071 	通訊電子學	Electronic Communication	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8071 	通訊電子學	Electronic Communication	選修	半	3.0		3.0	0.0				
113	HD75 	電機系（博）	AEC8072 	單晶片系統設計與應用	Single Chip System Design and Application	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8072 	單晶片系統設計與應用	Single Chip System Design and Application	選修	半	3.0		3.0	0.0				
113	HD75 	電機系（博）	AEC8073 	基礎模型與智慧機器人	Foundational Models and Intelligent Robotics	選修	半	3.0		3.0	0.0				
113	HM75 	電機系（碩）	AEC8073 	基礎模型與智慧機器人	Foundational Models and Intelligent Robotics	選修	半	3.0		3.0	0.0				
113	HU75 	電機系（學）	AEU0003 	數位系統	Digital Systems	必修	半	3.0	3.0	3.0	0.0	3.0	0.0		
113	HU75 	電機系（學）	AEU0004 	數位系統實驗	Digital Systems Laboratory	必修	半	2.0	2.0	1.0	3.0	4.0	0.0	 	
113	HU75 	電機系（學）	AEU0005 	計算機概論	Introduction to Computer Science	必修	半	3.0	3.0	3.0	0.0	3.0	0.0	 	
113	HU75 	電機系（學）	AEU0006 	電子學（一）	Electronics (I)	必修	半	3.0	3.0	3.0	0.0	3.0	0.0		
113	HU75 	電機系（學）	AEU0007 	電子學實驗（一）	Electronics Laboratory (I)	必修	半	2.0	2.0	1.0	3.0	4.0	0.0	 	
